scenario,month,cost_brl_t,days,p_interrupt_pct,port,route
br163_blocked,Feb,658,52.12,10.16,Itacoatiara,Sorriso > Porto Velho > Porto Velho (barge) > Itacoatiara > Itacoatiara (ship) > Shanghai
br163_blocked,Feb,672.2,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
br163_blocked,Feb,732.5,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Mar,668.9,52.12,10.16,Itacoatiara,Sorriso > Porto Velho > Porto Velho (barge) > Itacoatiara > Itacoatiara (ship) > Shanghai
br163_blocked,Mar,678.9,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
br163_blocked,Mar,752.7,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Apr,658.3,51.12,6.34,Itacoatiara,Sorriso > Porto Velho > Porto Velho (barge) > Itacoatiara > Itacoatiara (ship) > Shanghai
br163_blocked,Apr,733,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,May,646.7,51.12,6.34,Itacoatiara,Sorriso > Porto Velho > Porto Velho (barge) > Itacoatiara > Itacoatiara (ship) > Shanghai
br163_blocked,May,711.5,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Jun,649.8,48.12,5.39,Itacoatiara,Sorriso > Porto Velho > Porto Velho (barge) > Itacoatiara > Itacoatiara (ship) > Shanghai
br163_blocked,Jun,667.2,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
br163_blocked,Jun,717.3,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Jul,652.5,48.12,5.39,Itacoatiara,Sorriso > Porto Velho > Porto Velho (barge) > Itacoatiara > Itacoatiara (ship) > Shanghai
br163_blocked,Jul,668.8,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
br163_blocked,Jul,722.3,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Aug,663.6,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
br163_blocked,Aug,706.6,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Sep,659,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
br163_blocked,Sep,692.7,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Oct,648.8,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
br163_blocked,Oct,662.3,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Nov,643.3,49.12,7.3,Itacoatiara,Sorriso > Porto Velho > Porto Velho (barge) > Itacoatiara > Itacoatiara (ship) > Shanghai
br163_blocked,Nov,643.6,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
br163_blocked,Nov,646.7,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Dec,606.4,49.12,9.25,Itacoatiara,Sorriso > Porto Velho > Porto Velho (barge) > Itacoatiara > Itacoatiara (ship) > Shanghai
br163_blocked,Dec,636.9,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
drought_ferrograo,Jan,486.5,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Jan,581.1,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Jan,652.7,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
drought_ferrograo,Jan,674,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
drought_ferrograo,Feb,489.9,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Feb,624.5,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Feb,672.2,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
drought_ferrograo,Feb,732.5,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
drought_ferrograo,Mar,491.1,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Mar,639.4,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Mar,678.9,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
drought_ferrograo,Mar,752.7,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
drought_ferrograo,Apr,489.9,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Apr,588.9,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought_ferrograo,Apr,624.8,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
